Date,Open,High,Low,Close,Volume,Adj Close
2024-01-01,100.0,105.0,99.0,102.0,1500000,102.0
2024-01-02,102.0,106.0,101.0,104.0,1700000,104.0
2024-01-03,104.0,107.0,103.0,105.0,1800000,105.0
2024-01-04,105.0,108.0,104.0,107.0,1600000,107.0
2024-01-05,107.0,110.0,106.0,109.0,1550000,109.0
2024-01-06,109.0,111.0,108.0,110.0,1400000,110.0
2024-01-07,110.0,112.0,109.0,111.0,1450000,111.0
2024-01-08,111.0,113.0,110.0,112.0,1500000,112.0
2024-01-09,112.0,114.0,111.0,113.0,1600000,113.0
2024-01-10,113.0,115.0,112.0,114.0,1650000,114.0
